FunctionName,AccountOwner,ProjectManager,AgencyOwner,TranslationResourceManager,TranslationResource,Requester,CategoryHeading,
PROJECT VIEW,,,,,,,TRUE,
Global Search,TRUE,TRUE,,,,,,
Clone a project,TRUE,TRUE,,,,,,
Archive a project,TRUE,TRUE,,,,,,
Rename a project,TRUE,TRUE,,,,,,
SUMMARY VIEW,,,,,,,TRUE,
Create a new project,TRUE,,,,,,,
Wordcount,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Progress preview,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Jobs,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Add/Delete/ Edit a language,TRUE,TRUE,,,,,,
Workflow summary view,TRUE,TRUE,,,,,,
JOBS,,,,,,,TRUE,
Add Job,TRUE,TRUE,,,,TRUE,,
View/Edit Details,TRUE,TRUE,,,,TRUE,,
Fuzzy Match report,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Archive/Unarchive,TRUE,TRUE,,,,TRUE,,
Progress Report,TRUE,TRUE,,,,TRUE,,
Upload a file to a job,TRUE,TRUE,,,,TRUE,,
Download translated files from a job,TRUE,TRUE,,,,TRUE,,
STYLE GUIDE,,,,,,,TRUE,
"Manage Style Guide (create, edit, delete)",TRUE,TRUE,,,,,,
Assign Style Guide,TRUE,TRUE,,,,,,
GLOSSARY,,,,,,,TRUE,
Add new term,TRUE,TRUE,,,,,,
Create new glossary,TRUE,TRUE,,,,,,
Export glossary,TRUE,TRUE,TRUE,TRUE,,,,
Enable/disable suggestions,TRUE,TRUE,,,,,,
Assign Glossary,TRUE,TRUE,,,,,,
CONTENT MANAGEMENT,,,,,,,TRUE,
Upload/download files,TRUE,TRUE,,,,,,
Authorize/Exclude/Delete strings,TRUE,TRUE,,,,,,
Add tags to strings,TRUE,TRUE,TRUE,TRUE,,,,
Add/remove strings from a job,TRUE,TRUE,,,,,,
Assign / unassign strings,TRUE,TRUE,TRUE,TRUE,,,,
Add strings instructions,TRUE,TRUE,TRUE,TRUE,,,,
View strings history,TRUE,TRUE,TRUE,TRUE,TRUE,,,
"Create, view, and resolve issues",TRUE,TRUE,TRUE,TRUE,TRUE,,,
Translate/Edit (Access Translation Interface),TRUE,TRUE,TRUE,TRUE,TRUE,,,
Submit/push strings to the the next workflow step,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Move strings between workflows,TRUE,TRUE,,,,,,
Publish strings,TRUE,TRUE,,,,,,
Search/filter strings,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Add/Remove Context,TRUE,TRUE,,,,,,
TRANSLATION INTERFACE,,,,,,,TRUE,
Translate/edit content,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Create/edit terms in the glossary,TRUE,TRUE,TRUE,TRUE,TRUE,,,
View Translation Memory matches,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Add/view/resolve issues,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Reorder segments and manage spaces,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Code view,TRUE,TRUE,TRUE,TRUE,TRUE,,,
SETTINGS,,,,,,,TRUE,
Add/remove users,TRUE,TRUE,TRUE,TRUE,,,,
Upload/import Translation Memory,TRUE,TRUE,,,,,,
Export Translation Memory as a .TMX file,TRUE,TRUE,,,,,,
Manage SmartMatch settings,TRUE,TRUE,,,,,,
Generate Fuzzy Match estimates,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Manage External Translation,TRUE,TRUE,,,,,,
Customize dashboard,TRUE,TRUE,,,,,,
REPORTS,,,,,,,TRUE,
Fuzzy Match Report,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Words under Management,TRUE,TRUE,,,,,,
Translation Resource word count,TRUE,TRUE,TRUE,TRUE,TRUE,,,
